protein_id	protein_name	copy_number
BHFGHA_00005	phage minor tail protein L	1
BHFGHA_00015	Phage-related protein, tail assembly protein I	1
BHFGHA_00020	Host specificity protein J	1
BHFGHA_00025	Opacity protein LomR and related surface antigens	1
BHFGHA_00030	Prophage side tail fiber protein	1
BHFGHA_00035	Prophage protein	1
BHFGHA_00040	Ybl63	1
BHFGHA_00045	Rhodococcus equi virulence-associated protein	1
BHFGHA_00050	Damage-inducible protein dinI-like	1
BHFGHA_00055	tryptophan synthase subunit alpha	1
BHFGHA_00060	tryptophan synthase subunit beta	1
BHFGHA_00065	bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF	1
BHFGHA_00070	bifunctional anthranilate synthase glutamate amidotransferase component TrpG/anthranilate phosphoribosyltransferase TrpD	1
BHFGHA_00075	anthranilate synthase component I	1
BHFGHA_00080	trp operon leader peptide	1
BHFGHA_00085	5'-3' exoribonuclease	1
BHFGHA_00090	L-threonylcarbamoyladenylate synthase	1
BHFGHA_00095	Uncharacterized protein YciQ	1
BHFGHA_00100	23S rRNA pseudouridine(2605) synthase RluB	1
BHFGHA_00105	cob(I)yrinic acid a,c-diamide adenosyltransferase	1
BHFGHA_00110	YciK family oxidoreductase	1
BHFGHA_00115	protease SohB	1
BHFGHA_00120	Protein YciN	1
BHFGHA_00125	type I DNA topoisomerase	1
BHFGHA_00130	HTH-type transcriptional regulator CysB	1
BHFGHA_00135	YmiA family putative membrane protein	1
BHFGHA_00140	Protein, C-ter, truncated protein	1
BHFGHA_00150	aconitate hydratase AcnA	1
BHFGHA_00155	GTP cyclohydrolase-2	1
BHFGHA_00160	phosphatidylglycerophosphatase B	1
BHFGHA_00165	lipopolysaccharide assembly protein LapA	1
BHFGHA_00170	lipopolysaccharide assembly protein LapB	1
BHFGHA_00175	orotidine-5'-phosphate decarboxylase	1
BHFGHA_00180	stress response translation initiation inhibitor YciH	1
BHFGHA_00185	osmotically-inducible lipoprotein OsmB	1
BHFGHA_00190	DNA-binding transcriptional regulator YciT	1
BHFGHA_00195	UPF0509 protein YciZ	1
BHFGHA_00200	cyclic di-GMP phosphodiesterase	1
BHFGHA_00205	exoribonuclease II	1
BHFGHA_00210	Uncharacterized protein YciW	1
BHFGHA_00215	enoyl-ACP reductase FabI	1
BHFGHA_00220	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA	1
BHFGHA_00225	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	1
BHFGHA_00230	Multidrug efflux pump subunit AcrB	1
BHFGHA_00235	Outer membrane protein TolC	1
BHFGHA_00240	putative arabinose efflux permease AraJ, MFS family	1
BHFGHA_00245	peptide ABC transporter ATP-binding protein SapF	1
BHFGHA_00250	peptide ABC transporter ATP-binding protein SapD	1
BHFGHA_00255	putrescine export ABC transporter permease SapC	1
BHFGHA_00260	putrescine export ABC transporter permease SapB	1
BHFGHA_00265	ABC transporter substrate-binding protein SapA	1
BHFGHA_00270	Uncharacterized protein YmjA	1
BHFGHA_00275	phage shock protein operon transcriptional activator	1
BHFGHA_00280	phage shock protein PspA	1
BHFGHA_00285	envelope stress response membrane protein PspB	1
BHFGHA_00290	envelope stress response membrane protein PspC	1
BHFGHA_00295	phage shock protein PspD	1
BHFGHA_00300	thiosulfate sulfurtransferase PspE	1
BHFGHA_00305	glucosylglycerate phosphorylase	1
BHFGHA_00310	ABC-type glycerol-3-phosphate transport system, periplasmic component	1
BHFGHA_00315	ABC-type sugar transport system, permease component	1
BHFGHA_00320	Inner membrane ABC transporter permease protein YcjP	1
BHFGHA_00325	D-guloside 3-dehydrogenase	1
BHFGHA_00330	3-dehydro-D-guloside 4-epimerase	1
BHFGHA_00335	D-glucoside 3-dehydrogenase	1
BHFGHA_00340	kojibiose phosphorylase	1
BHFGHA_00345	beta-phosphoglucomutase	1
BHFGHA_00350	Uncharacterized ABC transporter ATP-binding protein YcjV	1
BHFGHA_00355	monomeric porin OmpG	1
BHFGHA_00360	Uncharacterized HTH-type transcriptional regulator YcjW	1
BHFGHA_00365	Uncharacterized protein YcjX	1
BHFGHA_00370	UPF0283 membrane protein YcjF	1
BHFGHA_00375	transcriptional regulator TyrR	1
BHFGHA_00380	thiol peroxidase	1
BHFGHA_00385	L-Ala-D/L-Glu epimerase	1
BHFGHA_00390	murein tripeptide amidase MpaA	1
BHFGHA_00395	Nucleoside-diphosphate-sugar epimerase	1
BHFGHA_00400	Uncharacterized protein YcjY	1
BHFGHA_00405	murein tripeptide amidase MpaA	1
BHFGHA_00410	DNA-binding transcriptional regulator PgrR	1
BHFGHA_00415	murein tripeptide ABC transporter substrate-binding protein MppA	1
BHFGHA_00420	low conductance mechanosensitive channel YnaI	1
BHFGHA_00425	Uncharacterized protein YnaJ	1
BHFGHA_00430	universal stress protein UspE	1
BHFGHA_00435	fumarate/nitrate reduction transcriptional regulator Fnr	1
BHFGHA_00440	methylated-DNA--[protein]-cysteine S-methyltransferase	1
BHFGHA_00450	AraC-type DNA-binding domain and AraC-containing proteins	1
BHFGHA_00455	HlyD family secretion protein	1
BHFGHA_00460	putative arabinose efflux permease AraJ, MFS family	1
BHFGHA_00465	DNA endonuclease SmrA	1
BHFGHA_00470	diguanylate cyclase DgcM	1
BHFGHA_00475	Protein YnaN	1
BHFGHA_00480	zinc transporter ZntB	1
BHFGHA_00490	Protein YnaL	1
BHFGHA_00495	ATP-dependent RNA helicase DbpA	1
BHFGHA_00500	tRNA 2-thiocytidine(32) synthetase TtcA	1
BHFGHA_00505	Manganese transport system membrane protein mntB	1
BHFGHA_00510	universal stress protein UspF	1
BHFGHA_00515	porin OmpN	1
BHFGHA_00525	pyruvate:ferredoxin (flavodoxin) oxidoreductase	1
BHFGHA_00530	Uncharacterized protein YdbJ	1
BHFGHA_00535	heat shock protein HslJ	1
BHFGHA_00540	D-lactate dehydrogenase	1
BHFGHA_00545	YdbH family protein	1
BHFGHA_00550	YdbH family protein	1
BHFGHA_00555	Uncharacterized protein YdbL	1
BHFGHA_00560	Autotransporter UpaH	1
BHFGHA_00565	pyridoxine 4-dehydrogenase	1
BHFGHA_00570	Inner membrane protein YnbA	1
